laser,gyro_x,gyro_y,gyro_z


SCAN 1 - Left to Right
7675,1259,136,-30
9069,953,87,-63
7594,977,43,-74
8231,1157,87,-88
8512,837,113,-30
8297,1610,113,-34
8317,1432,118,-36
SCAN 7 - Left to Right

8621,1270,91,-7
7312,758,113,-100
8602,440,126,-83
8883,-239,60,-76
8616,-45,82,-92
8297,-420,95,-66
8663,-1096,87,-95
8769,-438,87,-111
8422,-3045,25,-151
8340,-1510,85,-112
8304,-584,96,-87
8111,-1262,49,-104
8257,-889,84,-119
8500,-2666,33,-117
8347,-165,91,-96
8373,-2538,36,-128
8140,-1247,62,-116
8616,-1794,50,-134
8240,451,122,-67
8085,-2942,47,-138
7925,-58,139,-82
8329,-2868,28,-156
8308,-1437,-683,-166
7727,-2064,68,-102
7529,175,130,-89
7528,-2926,64,-141
8239,790,127,-54
8170,-1479,67,-95
7859,-3374,48,-130
7273,-98,109,-90
7753,-2278,53,-151
7634,-958,94,-53
7865,-1868,20,-112
7579,-564,95,-81
7631,-1940,-898,-169
7763,-2216,183,-145
7615,-797,75,-137
7589,-1331,59,-93
7015,-2401,93,-108
7227,-374,86,-102
7847,-1815,75,-113
7416,-1462,84,-123
7353,-2104,662,65
7972,-946,122,-96
7958,-1093,110,-105
7144,-1497,77,-129
4558,-1678,94,-105
5295,-1225,65,-107
6936,-1237,61,-116
4532,-1342,62,-89
6914,-1697,30,-124
6172,-1460,57,-118
6726,-1483,68,-105
5258,-1467,73,-88
4963,-1424,93,-58
5341,-1474,72,-57
5109,-1093,69,-99
5326,-1298,56,-126
5188,-1098,76,-91
6166,-1469,76,-112
5675,-1583,83,-100
5112,-1926,73,-137
5302,-1607,56,-115
5437,-1158,69,-92
5256,-1373,72,-88
6048,-1360,82,-133
6047,-1832,111,-130
6337,-1332,48,-112
5312,-2006,83,-117
5532,-1398,64,-134
5168,-961,75,-94
6325,-1156,42,-130
5741,-905,84,-78
7085,-1901,73,-73
5080,-1849,112,-119
3933,-1475,67,-53
5565,-1801,61,-126
5011,-975,74,-102
5311,-1488,58,-109
5119,-1591,76,-115
5401,-1062,81,-107
5545,-1373,91,-73
6019,-2223,38,-109
4796,-788,64,-146
5124,-1613,58,-101
4372,-1742,66,-96
4835,-1341,71,-141
4549,-1376,76,-122
4713,-1618,55,-100
4699,-1547,71,-120
4652,-989,83,-75
4385,-2275,43,-114
3670,-1497,80,-105
4729,-1802,53,-105
5789,-1050,75,-85
5464,-1665,81,-126
4968,-993,71,-110
3564,-1593,65,-105
3007,-1531,57,-111
4600,-1424,55,-80
4558,-2082,44,-114
3754,-1558,75,-102
1458,-1255,63,-96
4147,-1401,63,-79
1856,-1272,78,-166
3529,-1412,63,-120
2554,-1709,59,-105
3664,-1983,68,-105
2151,-1434,71,-101
3206,-1035,92,-92
2440,-1581,54,-117
4088,-1577,72,-85
17093,-1495,88,-146
4868,-1552,59,-116
1059,-1769,62,-130
2762,-1898,86,-123
2969,-965,56,-116
3563,-1399,60,-132
3827,-1411,81,-84
3853,-1084,47,-78
3810,-1565,101,-128
2618,-2314,55,-112
4509,-1433,41,-94
2733,-1627,84,-68
3311,-1094,70,-93
3538,-1418,73,-104
7319,-1754,65,-111
6305,-1668,45,-136
10171,-1315,77,-79
6517,-1511,41,-117
5947,-1659,40,-98
5925,-2094,65,-113
5588,-707,75,-69
3986,-1681,49,-108
3567,-1494,82,-103
5702,-1228,88,-133
7046,-1812,76,-124
4406,-1298,96,-105
6458,-1657,36,-100
6264,-1175,42,-135
7911,-1427,113,-90
7617,-2077,60,-93
7479,-1331,69,-123
7726,-1657,91,-110
7370,-928,75,-129
7453,-1619,83,-97
7768,-2463,44,-104
8141,-372,99,-96
7961,-2067,72,-168
8405,-1285,28,-119
7383,-1095,116,-136
7431,-1432,53,-114
7963,-1351,50,-74
7239,-1309,99,-108
72
SCAN 8 - Right to Left
38,-1943,33,-97
7812,-1016,120,-85
7867,-977,64,-77
8045,127,103,-79
7907,-35,95,-96
7973,338,121,-81
7886,2731,135,-80
7754,158,75,-73
1661,2658,126,-70
8160,442,107,-107
7467,2846,114,-2
7334,-1881,29,-88
8202,3865,173,-46
8620,-1121,47,-75
8134,765,89,-55
7867,2751,143,-38
7840,184,131,-73
7903,2944,153,-41
7688,502,81,-67
7881,887,133,-42
7346,2082,135,-42
7702,213,81,-47
7690,3033,159,-14
7061,-331,82,-95
4688,3141,183,-38
3716,98,87,-62
5975,2864,123,-11
5129,-253,82,-42
5918,803,101,-18
7417,1268,98,-56
5463,2724,146,-28
5514,1189,94,-49
4843,800,99,-92
7139,1539,115,-37
5275,2933,112,-53
7887,-594,106,-88
6018,2216,143,-20
7854,1841,101,-40
5239,1420,120,-36
4617,-56,95,-32
1504,2499,129,-82
4230,316,79,-80
1496,3457,151,-2
1543,-378,90,-63
5310,1129,93,-67
4821,2375,119,-15
5433,-136,92,-96
3307,3209,125,-17
4015,-1967,47,-131
2523,1410,75,-66
3261,1753,86,-28
4449,-246,76,-76
3548,1650,150,-57
2781,2065,153,-75
1714,528,98,-14
1699,2212,135,-25
2614,1768,90,-42
2118,772,70,-61
2233,2195,122,-54
1743,-21,93,-60
4770,1964,110,-43
4317,2555,112,-6
5057,-451,77,-75
5087,1943,93,-2
4722,1934,130,-12
4541,-294,115,-89
2875,2272,113,-50
5301,1779,120,-25
4430,2564,133,-37
4027,-112,106,-81
3777,1069,98,-43
4717,1256,119,-40
6282,2319,96,-34
5313,-74,-104,-95
4972,1789,103,-22
6176,1967,90,-22
4563,-491,30,-90
5207,1651,88,-41
6410,1831,92,-41
5658,782,58,-79
5888,1159,100,-40
5152,972,87,-48
4666,1465,115,-63
5138,890,103,-87
5148,1066,117,-33
4309,1608,92,-71
6239,1904,105,-50
5925,1622,118,-58
5009,1374,56,-54
5894,2032,121,-32
5591,668,103,-57
5221,936,108,-59
6027,996,104,-117
5942,1452,81,-43
5989,1623,92,-37
2473,1171,93,-47
5796,788,133,-77
6077,868,105,-20
6306,1206,115,-44
4978,964,102,-28
5084,1059,96,-59
5339,1547,99,-10
5296,1900,124,-32
4826,1454,92,-40
4971,2136,128,-12
5063,854,130,-94
6592,998,98,-47
5977,1543,125,-73
5713,1429,87,-54
5570,689,108,-86
5124,962,129,-63
